id;name;used
957129;Bus 297: Kittsee Bahnhof => Hainburg an der Donau Hauptplatz (über Edelstal Siedlung);
961051;Bus 69: Petri Au => St. Peter;
964231;Bus N1: Gösting => P+R Fölling;
964232;Bus N2: Webling => Wirtschaftskammer;
964407;Bus N7: Pulverturmstraße => Stifting;
964411;Bus N5: Kalsdorf bei Graz Römerstraße => Jakominiplatz;
964420;Bus N4: Dörfla => Jakominiplatz;
964425;Bus N8: Thondorf => Jakominiplatz;
964429;Bus N3: P+R Pachern => Gösting;
964437;Bus N6: Unterpremstätten/Steg => St. Peter;
964969;Bus 72: Schulzentrum St. Peter => Liebenau (via Walter-P.-Chrysler-Platz);
964974;Bus 72: Liebenau => Schulzentrum St. Peter (via Walter-P.-Chrysler-Platz);
964975;Bus 72: Walter-P.-Chrysler-Platz => Schulzentrum St. Peter;
965434;Bus 68: Lustbühel => Schulzentrum St. Peter;
965435;Bus 68: Lustbühel => Schulzentrum St. Peter (via Petri Au);
965436;Bus 68: Schulzentrum St. Peter => Lustbühel (via Petri Au);
965442;Bus 61: Berliner Ring => Krenngasse;
965492;Bus 83: Volksschule Mariagrün => Mariagrün;
965493;Bus 81: Saumgasse => Quellengasse/Rose;
965494;Bus 43: Saumgasse => Andritz;
965495;Bus 81: Senior:innenzentrum und Salon Stolz => Mariagrün;
965497;Bus 81: Saumgasse => Pfeifferhof;
965498;Bus 81: Mariagrün => Senior:innenzentrum und Salon Stolz;
965499;Bus 81: Pfeifferhof => Senior:innenzentrum und Salon Stolz;
965500;Bus 81: Senior:innenzentrum und Salon Stolz => Quellengasse/Rose;
965501;Bus 81: Mariagrün => Senior:innenzentrum und Salon Stolz (not via Pfeifferhof);
965502;Bus 42: Ziegelstraße => Andritz;
965503;Bus 81: Pfeifferhof => Saumgasse;
975869;Bus 48: Gösting => Thal/Kötschberg (via Winkelstraße);
975870;Bus 48S: Thalersee => Gösting;
975872;Bus 80: Feldkirchen/Raiffeisenplatz => Puntigam;
975877;Bus 80: Feldkirchen/Raiffeisenplatz => Puntigam (via Gewerbepark Rudersdorf);
975879;Bus 80: Puntigam => Feldkirchen/Raiffeisenplatz (via Gewerbepark Rudersdorf);
975880;"Bus 48: Thal/Kötschberg => Gösting (nicht via Thaler See;Werktagmorgen und Sonntag)";
1016154;Bus 45: Andritz => Volksschule St. Veit;
1016156;Bus 45: Volksschule St. Veit => Andritz;
1016168;Bus 53: Stattegg/Fuß der Leber => Hauptbahnhof;
1016281;Bus 79: Schule Puntigam => Seiersberg-Mitte;
1016284;Bus 79: Gedersberg/Rebhuhnweg => Seiersberg;
1016285;Bus 79: Gedersberg/Rebhuhnweg => Pirka/Raiffeisengasse;
1016286;Bus 78: Gedersberg/Kirchweg => Puntigam;
1016287;Bus 79: Gedersberg/Augasse => Volksschule Pirka;
1016289;Bus 78: Puntigam => Gedersberg/Kirchweg (via Volksschule Seiersberg);
1016294;Bus 78: Gedersberg/Kirchweg => Puntigam (via Volksschule Seiersberg);
1016295;Bus 79: Seiersberg-Mitte => Schule Puntigam;
1016296;Bus 79: Pirka/Hauptstraße => Gedersberg/Kirchweg;
1016297;Bus 78: Seiersberg => Puntigam;
1016299;Bus 78: Puntigam => Seiersberg;
1024456;Bus 816;
1025209;Bus 104;
1116791;Bus 191: Gaumberg => St. Martin;
1120937;Bus 130: Bregenz => Dornbirn;
1122253;Bus 140: Bregenz => Gaißau;
1122258;Bus 141: Bregenz => Lustenau;
1122276;Bus 148: Hard => Wolfurt;
1122453;Bus 102: Bregenz Achsiedlung => Bregenz Bahnhof;
1122472;Bus 103: Bregenz Bahnhof => Achsiedlung;
1122491;Bus 104: Bregenz Bahnhof => Achsiedlung;
1122494;Bus 105: Bregenz Bahnhof => Landeskrankenhaus => Stadtwerke => Bahnhof;
1128549;Bus 151: Bregenz => Dornbirn;
1132089;Bus 150: Bregenz => Dornbirn;
1132305;Bus 125: Hörbranz => Bregenz;
1132349;Bus 121: Lochau => Niederstaufen;
1132524;Bus 404: Grinzens Wendestelle => Innsbruck Hauptbahnhof K;
1133017;Bus 129: Lindau => Lochau;
1140547;Bus 974 (Sommer- & Winterfahrplan): Waldhäuslalm - Schladming;
1140612;Bus 412: Variante nach Niederneukirchen (aus Hargelsberg kommend);
1147278;Bus 192: Theatergasse => Stadtplatz Leonding;
1147279;Bus 104: Waldesruh => Sennweg;
1147280;Bus 191: St. Martin => Gaumberg;
1147281;Bus 105: Siriusweg => Südpark Linz;
1147282;Bus 103: Turmstraße => Lißfeld => Turmstraße;
1147285;Bus 104: Sennweg => Waldesruh;
1147287;Bus 101: Aichinger => Urnenhain Urfahr;
1147288;Bus 102: Worathweg => Rudolfstraße;
1147289;Bus 192: Stadtplatz Leonding => Theatergasse;
1147444;Bus 71: Industriezeile => Baintwiese;
1147445;Bus 73: Baintwiese => Fernheizkraftwerk;
1147446;Bus 70: Schiffswerft => Stadtfriedhof;
1147447;Bus 73: Fernheizkraftwerk => Baintwiese;
1147448;Bus 77: Universität => Hauptbahnhof;
1147449;Bus 71: Baintwiese => Industriezeile;
1147450;Bus 70: Stadtfriedhof => Schiffswerft;
1147749;Bus 611: Traun => Ansfelden => Ebelsberg => Linz;
1147751;Bus 611: Linz => Ebelsberg => Ansfelden => Traun;
1147758;Bus 616: Traun - Pucking - Marchtrenk;
1148401;Bus 17: Hitzing => Fernheizkraftwerk;
1148405;Bus 26: Stadion => St. Margarethen;
1148635;Bus 27: Chemiepark => Fernheizkraftwerk;
1148636;Bus 38: Jäger im Tal => Rudolfstraße;
1148639;Bus 19: Pichlinger See => Fernheizkraftwerk;
1149345;Bus 33: Pleschinger See => Riesenhof;
1149400;Bus 18: Stahlwerk => Turmstraße;
1149401;Bus 25: Oed => Karlhof;
1149402;Bus 12: Auwiesen => Karlhof;
1168860;Bus 11: Pichlinger See => Sporthalle Leonding;
1168887;Bus 11: Sporthalle Leonding => Pichlinger See;
1169032;Bus 33a: Rudolfstraße => Plesching;
1169037;Bus 33a: Plesching => Rudolfstraße;
1169837;Bus 5050: Maria Luggau -> Kötschach VS;
1169838;VVT Linie 965: St. Lorenzen – Sillian;
1169839;VVT Linie 965: Sillian – St. Lorenzen;
1169840;Bus 5050: Mauthen -> St. Lorenzen im Lesachtal HS;
1178395;Bummelzug - Tratzberg-Express;
1183105;Bus 522: Gmunden - Altmünster - Neukirchen - Großalm;
1278334;Klinik-Bus;
1305899;Nachtbus N66: Liesing => Burgring (wochentags);
1306240;Bus 51A: Ottakringer Bad => Hietzing (über Hanusch-Krankenhaus);
1306241;Bus 51A: Hietzing => Ottakringer Bad (über Hanusch-Krankenhaus);
1306478;Nachtbus N49: Hütteldorf Bujattigasse => Oper, Karlsplatz (werktags);
1306479;Nachtbus N49: Auhof => Hütteldorfer Straße (Wochenende);
1307145;Bus 58A: Hietzing => Atzgersdorf;
1307147;Bus 58A: Atzgersdorf => Hietzing;
1307150;Bus 56A: Atzgersdorf => Hietzing;
1311867;Bus 526: Laakirchen - Desselbrunn - Attnang;
1318973;Bus 5: St. Anton a A. Terminal West => St. Jakob a A. Untergand;
1318975;Bus 2: St. Anton a A. WellCom => St. Anton a A. Terminal West;
1318976;Bus 3: St. Anton a A. Terminal West => St. Anton a A. WellCom;
1318978;Bus 4: St. Anton a A. Terminal West => St. Anton a A. Alt St. Anton;
1322019;Bus 278: Haslach/Mühl => St. Oswald bei Haslach;
1322020;Bus 278: St. Oswald bei Haslach => Haslach/Mühl => Rohrbach-Berg;
1322041;Bus 760: Sankt Anton am Arlberg => Lech am Arlberg;
1322042;Bus 760: Lech am Arlberg => Sankt Anton am Arlberg;
1324843;Bus 6: St. Anton a A. Terminal West => Verwall Salzhütte;
1324894;4242 St. Anton – Landeck;
1324895;4242 Landeck – St. Anton;
1328832;Bus 265: Linz => Rohrbach-Berg;
1332080;Bus 265: Haslach/Mühl => Linz;
1343712;Bus 270 Vorderweißenbach - Linz Eilkurs via Europaplatz;
